,airport_code,airport_full_name
414,CFD,Coulter Field Airport  Bryan
415,BFT,County Airport  Beaufort
416,JAS,County Airport  Jasper
417,OBE,County Airport  Okeechobee
418,SIV,County Airport  Sullivan
419,WSG,County Airport  Washington
420,VCT,County-Foster Airport  Victoria
421,PRX,Cox Field Airport  Paris
422,SEM,Craig AFB Airport  Selma
423,CRG,Craig Municipal Airport  Jacksonville
424,CIG,Craig-Moffat Airport  Craig
425,CCG,Crane County Arpt Airport  Crane
426,CKR,Crane Island Airport  Crane Island
427,RTN,Crews Field Airport  Raton
428,CKD,Crooked Creek Airport  Crooked Creek
429,CTY,Cross City Airport  Cross City
430,STK,Crosson Field Airport  Sterling
431,MIC,Crystal Airport  Minneapolis
432,CYE,Crystal Lake Airport  Crystal Lake
433,CUW,Cube Cove Airport  Cube Cove
434,VHN,Culberson County Airport  Van Horn
435,WBN,Cummings Park Airport  Woburn
436,BBD,Curtis Field Airport  Brady
437,ORV,Curtis Memorial Airport  Noorvik
438,CTB,Cut Bank Airport  Cut Bank
439,CGF,Cuyahoga County Airport  Cleveland
440,TNT,Dade Collier Airport  Miami
441,DCK,Dahl Creek Arpt Airport  Dahl Creek
442,DHT,Dalhart Airport  Dalhart
443,DNE,Dallas North Airport  Dallas
444,DFW,"Dallas/Fort Worth International Airport  Dallas, TX"
445,DXR,"Danbury Municipal Airport  Danbury, CT"
446,MSN,Dane County Regional Airport  Madison
447,DGB,Danger Bay Airport  Danger Bay
448,DNL,"Daniel Field Airport  Augusta, GA"
449,MGM,Dannelly Fld Airport  Montgomery
450,MEO,Dare County Regional Airport  Manteo
451,DVN,Davenport Airport  Davenport
452,DWH,David Wayne Hooks Airport  Houston
453,OWB,Daviess County Airport  Owensboro
454,MKO,Davis Field Airport  Muskogee
455,DAA,Davison AAF Airport  Fort Belvoir
456,GDV,Dawson Community Airport  Glendive
457,MGY,Dayton-Wright Brothers Airport  Dayton
458,DTH,Death Valley Airport  Death Valley
459,DEC,Decatur Arpt Airport  Decatur
460,BGE,Decatur County Airport  Bainbridge
461,DCR,Decatur Hi-Way Airport  Decatur
462,DTR,Decatur Island Airport  Decatur Island
463,WDB,Deep Bay Airport  Deep Bay
464,DPK,Deer Park Airport  Deer Park
465,DRG,Deering Airport  Deering
466,PDK,"Dekalb-Peachtree Airport  Atlanta, GA"
467,DRT,Del Rio International Airport  Del Rio
468,MIE,Delaware County Airport  Muncie
469,DTA,Delta Airport  Delta
470,ESC,Delta County Arpt Airport  Escanaba
471,DJN,Delta Junction Airport  Delta Junction
472,DMN,Deming Airport  Deming
473,DEN,Denver International Airport  Denver
474,LOL,Derby Field Airport  Lovelock
475,DSM,"Des Moines International Airport  Des Moines, IA"
476,DRA,Desert Rock Airport  Mercury
